,TF,Target
101,AR,EGFR
161,AR,TCF7L2
173,AR,VEGFA
174,AR,VEGFA
181,ARID1A,SMAD3
210,ARNT,VEGFA
352,ATF4,VEGFA
353,ATF4,VEGFA
402,ATM,VEGFA
419,BCL3,EGFR
473,BRCA1,EGFR
495,BRCA1,JAK2
512,BRCA1,VEGFA
558,CDX1,PPARG
732,CEBPD,PPARG
822,COPS5,VEGFA
941,CREBBP,EGFR
1073,CUX1,FTO
1163,DNMT1,VEGFA
1291,E2F1,PPARG
1292,E2F1,PPARG
1332,E2F1,VEGFA
1350,E2F3,VEGFA
1372,E2F4,PPARG
1428,EGR1,EGFR
1475,EGR1,PPARG
1505,EGR1,VEGFA
1506,EGR1,VEGFA
1507,EGR1,VEGFA
1648,EP300,VEGFA
1661,EPAS1,VEGFA
1662,EPAS1,VEGFA
1736,ESR1,EGFR
1747,ESR1,JAK2
1785,ESR1,VEGFA
1786,ESR1,VEGFA
1809,ESR2,VEGFA
2194,FOXA2,TCF7L2
2200,FOXC1,FOXO1
2251,FOXM1,VEGFA
2298,FOXO3,VEGFA
2332,FOXQ1,VEGFA
2428,GATA2,PPARG
2468,GATA3,TCF7L2
2616,HDAC1,EGFR
2703,HDAC2,VEGFA
2709,HDAC3,EGFR
2727,HDAC3,VEGFA
2752,HDAC4,VEGFA
2800,HDGF,VEGFA
2814,HEXIM1,VEGFA
2838,HIC1,VEGFA
2926,HIF1A,VEGFA
2927,HIF1A,VEGFA
2928,HIF1A,VEGFA
2945,HIPK2,VEGFA
2981,HMGA2,IGF2BP2
3015,HNF1A,VEGFA
3045,HNF4A,KCNJ11
3061,HNF4A,TCF7L2
3121,HOXB7,EGFR
3126,HOXB7,VEGFA
3194,HTATIP2,VEGFA
3199,ID3,VEGFA
3426,JUN,EGFR
3557,JUN,VEGFA
3563,JUNB,EGFR
3649,KLF10,EGFR
3677,KLF2,PPARG
3727,KLF4,VEGFA
3736,KLF5,FOXO1
3849,LRRFIP1,EGFR
3952,MEF2C,VEGFA
4052,MTA1,EGFR
4251,MYC,VEGFA
4252,MYC,VEGFA
4371,NCOR1,PPARG
4640,NFKB1,EGFR
4641,NFKB1,EGFR
4697,NFKB1,IGF2BP2
4886,NFKB1,VEGFA
4887,NFKB1,VEGFA
4888,NFKB1,VEGFA
5008,NKX3-1,VEGFA
5077,NR1H4,VEGFA
5181,NR3C2,EGFR
5204,NR4A3,PPARG
5310,PARP1,FOXO1
5424,PGR,EGFR
5440,PGR,VEGFA
5523,PML,EGFR
5735,PPARG,EGFR
5832,PTTG1,VEGFA
5899,RB1,PPARG
5907,RB1,VEGFA
6095,RELA,EGFR
6151,RELA,IGF2BP2
6341,RELA,VEGFA
6342,RELA,VEGFA
6343,RELA,VEGFA
6512,RUNX1,VEGFA
6533,RUNX2,VEGFA
6694,SIRT1,PPARG
6759,SMAD3,VEGFA
7109,SP1,EGFR
7110,SP1,EGFR
7480,SP1,VEGFA
7481,SP1,VEGFA
7482,SP1,VEGFA
7619,SP3,VEGFA
7748,SREBF1,PPARG
7772,SREBF2,PPARG
7836,STAT1,EGFR
7871,STAT1,JAK2
7968,STAT3,EGFR
8014,STAT3,JAK2
8015,STAT3,JAK2
8102,STAT3,VEGFA
8103,STAT3,VEGFA
8104,STAT3,VEGFA
8105,STAT3,VEGFA
8292,TCF4,VEGFA
8314,TEAD4,VEGFA
8346,TFAP2A,EGFR
8395,TFAP2A,VEGFA
8396,TFAP2A,VEGFA
8540,TP53,EGFR
8641,TP53,SMAD3
8647,TP53,TCF7L2
8664,TP53,VEGFA
8665,TP53,VEGFA
8704,TRAF6,VEGFA
8713,TRIB3,SMAD3
8732,TSC22D3,FOXO1
8736,TSG101,EGFR
8808,UHRF1,PPARG
8811,UHRF1,VEGFA
8972,VDR,EGFR
8973,VDR,EGFR
9017,VHL,VEGFA
9018,VHL,VEGFA
9019,VHL,VEGFA
9042,WT1,EGFR
9072,WT1,SMAD3
9084,WT1,VEGFA
9085,WT1,VEGFA
9096,WWTR1,SMAD3
9114,XBP1,VEGFA
9115,XBP1,WFS1
9140,YBX1,EGFR
9185,YY1,EGFR
9324,ZFP36,VEGFA
9325,ZFP36L1,VEGFA
9365,ZNF24,VEGFA
3,AATF,MYC
4,AATF,TP53
12,ABL1,FOXO3
13,ABL1,JUN
14,ABL1,JUN
16,ABL1,TP53
22,AHR,ARNT
23,AHR,BRCA1
41,AHR,MYC
58,APC,DNMT1
60,APC,KLF4
61,APC,MYC
70,APEX1,NFKB1
72,APEX1,RELA
103,AR,EP300
120,AR,JUN
123,AR,KLF5
133,AR,MYC
136,AR,NFKB1
137,AR,NKX3-1
138,AR,NKX3-1
153,AR,RELA
181,ARID1A,SMAD3
186,ARID3A,E2F1
187,ARID3A,PML
191,ARNT,BRCA1
202,ARNT,ESR1
205,ARNT,HIF1A
206,ARNT,JUN
281,ATF2,JUN
291,ATF2,RELA
312,ATF3,TP53
346,ATF4,SIRT1
347,ATF4,SIRT1
350,ATF4,TRIB3
351,ATF4,TRIB3
359,ATF5,EGR1
375,ATF6,XBP1
386,ATM,FOXM1
398,ATM,SP1
399,ATM,SP1
412,BACH2,XBP1
413,BARD1,ESR1
414,BARX2,ESR1
421,BCL3,NFKB1
422,BCL3,NFKB1
423,BCL3,RELA
435,BCL6,MYC
436,BCL6,NFKB1
439,BCL6,STAT3
441,BCL6,XBP1
442,BDP1,MYC
443,BDP1,RB1
444,BDP1,TP53
447,BIN1,MYC
452,BRCA1,ATM
474,BRCA1,EGR1
475,BRCA1,EP300
476,BRCA1,EP300
477,BRCA1,ESR1
479,BRCA1,FOXC1
485,BRCA1,HIF1A
486,BRCA1,HMGA2
503,BRCA1,MYC
506,BRCA1,SIRT1
507,BRCA1,STAT1
509,BRCA1,STAT3
520,BRD7,E2F3
521,BRD7,E2F3
530,BTF3,ATM
535,BTF3,NFKB1
545,CBFB,RUNX1
546,CBFB,RUNX2
558,CDX1,PPARG
580,CDX2,KLF4
581,CDX2,KLF4
590,CDX2,SP1
596,CDX2,VDR
633,CEBPA,MYC
646,CEBPA,STAT3
719,CEBPB,XBP1
732,CEBPD,PPARG
742,CEBPE,MYC
755,CHD8,BRCA1
758,CHD8,MYC
763,CIITA,CREBBP
793,CIITA,SIRT1
795,CIITA,STAT1
816,CNBP,MYC
827,CREB1,AR
867,CREB1,JUN
868,CREB1,JUN
885,CREB1,NR4A3
932,CREB5,STAT1
936,CREBBP,BRCA1
942,CREBBP,EP300
958,CREBBP,TP53
998,CTBP1,BRCA1
1009,CTCF,BRCA1
1021,CTCF,MYC
1022,CTCF,MYC
1023,CTCF,MYC
1037,CTCF,WT1
1039,CTNNB1,AR
1050,CTNNB1,JUN
1051,CTNNB1,JUN
1054,CTNNB1,MYC
1055,CTNNB1,MYC
1061,CTNNB1,RB1
1101,DDIT3,SIRT1
1107,DDIT3,TRIB3
1121,DLX4,BRCA1
1126,DLX5,MYC
1127,DMAP1,ATM
1130,DMAP1,DNMT1
1142,DNMT1,ESR1
1144,DNMT1,HDAC1
1153,DNMT1,RB1
1162,DNMT1,TP53
1184,E2F1,AR
1185,E2F1,AR
1189,E2F1,ATM
1190,E2F1,ATM
1199,E2F1,BRCA1
1200,E2F1,BRCA1
1218,E2F1,CREBBP
1221,E2F1,CUX1
1227,E2F1,DNMT1
1232,E2F1,E2F1
1244,E2F1,FOXM1
1250,E2F1,HIC1
1277,E2F1,MYC
1291,E2F1,PPARG
1292,E2F1,PPARG
1299,E2F1,RB1
1319,E2F1,TP53
1320,E2F1,TP53
1321,E2F1,TP53
1329,E2F1,UHRF1
1330,E2F1,UHRF1
1336,E2F2,CUX1
1344,E2F3,CUX1
1351,E2F4,AR
1354,E2F4,BRCA1
1355,E2F4,BRCA1
1356,E2F4,BRCA1
1360,E2F4,CUX1
1368,E2F4,MYC
1372,E2F4,PPARG
1379,E2F5,MYC
1381,E2F6,BRCA1
1384,E2F6,E2F1
1387,E2F7,E2F1
1389,E2F8,E2F1
1401,EGF,STAT1
1411,EGR1,AR
1429,EGR1,EP300
1430,EGR1,EP300
1445,EGR1,HIF1A
1468,EGR1,NFKB1
1475,EGR1,PPARG
1494,EGR1,TCF4
1502,EGR1,TP53
1555,ELF4,TP53
1575,ELK1,ZFP36
1583,ELL,E2F1
1587,ENO1,MYC
1588,ENO1,MYC
1596,EP300,BRCA1
1597,EP300,BRCA1
1607,EP300,CREBBP
1611,EP300,DNMT1
1630,EP300,MYC
1631,EP300,NFKB1
1633,EP300,NR1H4
1634,EP300,PARP1
1639,EP300,RELA
1649,EP300,WT1
1650,EP300,YY1
1667,ERCC2,E2F1
1669,ERCC2,TP53
1707,ESR1,AR
1712,ESR1,BRCA1
1735,ESR1,E2F1
1737,ESR1,ESR1
1748,ESR1,JUN
1749,ESR1,JUN
1750,ESR1,JUNB
1757,ESR1,MYC
1763,ESR1,PGR
1764,ESR1,PGR
1771,ESR1,RUNX2
1774,ESR1,SP1
1781,ESR1,TP53
1799,ESR2,JUN
1847,ETS1,EGR1
1848,ETS1,EGR1
1879,ETS1,NKX3-1
1880,ETS1,PARP1
1881,ETS1,PARP1
1897,ETS1,TFAP2A
1904,ETS1,TP53
1910,ETS1,WT1
1923,ETS2,EGR1
1936,ETS2,MYC
1941,ETS2,TP53
1943,ETV1,AR
1946,ETV3,NFKB1
1947,ETV3,RELA
1997,EZH2,BRCA1
2010,EZH2,FOXC1
2011,EZH2,HDAC1
2017,EZH2,MYC
2031,EZH2,TP53
2032,EZH2,TP53
2034,EZH2,VDR
2038,FHL2,NFKB1
2039,FHL2,RELA
2044,FLI1,EP300
2048,FLI1,FOXM1
2052,FLI1,HDAC1
2102,FOS,MYC
2104,FOS,NFKB1
2116,FOS,PGR
2129,FOS,TP53
2144,FOSL2,BRCA1
2162,FOXA1,BRCA1
2165,FOXA1,ESR1
2169,FOXA1,MYC
2223,FOXH1,AR
2234,FOXL2,SIRT1
2237,FOXM1,AR
2249,FOXM1,MYC
2257,FOXO1,AR
2261,FOXO1,EGR1
2270,FOXO1,KLF2
2281,FOXO3,AR
2282,FOXO3,AR
2290,FOXO3,FOXM1
2294,FOXO3,SIRT1
2302,FOXO4,HIF1A
2317,FOXP3,BRCA1
2335,FUBP1,MYC
2337,FUS,AR
2359,GATA1,COPS5
2404,GATA1,RUNX1
2411,GATA1,WT1
2412,GATA1,WT1
2416,GATA2,AR
2428,GATA2,PPARG
2433,GATA2,WT1
2447,GATA3,ESR1
2448,GATA3,FOXC1
2451,GATA3,GATA3
2463,GATA3,NFKB1
2465,GATA3,RELA
2517,GFI1B,MEF2C
2529,GLI1,JUN
2543,GLI2,FOXA2
2552,GLI2,JUN
2569,GTF2I,SIRT1
2574,GTF3A,STAT1
2582,HBP1,DNMT1
2585,HCFC1,E2F1
2586,HCFC1,E2F4
2591,HDAC1,AR
2614,HDAC1,DNMT1
2615,HDAC1,E2F1
2617,HDAC1,EGR1
2620,HDAC1,ESR1
2621,HDAC1,ESR1
2631,HDAC1,KLF4
2638,HDAC1,NFKB1
2661,HDAC1,SP1
2663,HDAC1,STAT3
2668,HDAC1,TP53
2673,HDAC11,MYC
2689,HDAC2,DNMT1
2692,HDAC2,KLF4
2694,HDAC2,MYC
2698,HDAC2,SP1
2711,HDAC3,GATA2
2716,HDAC3,JUN
2721,HDAC3,MYC
2728,HDAC4,ATF4
2732,HDAC4,HDAC3
2736,HDAC4,JUN
2737,HDAC4,JUN
2738,HDAC4,KLF4
2746,HDAC4,RUNX2
2753,HDAC4,WT1
2762,HDAC5,WT1
2763,HDAC5,YY1
2768,HDAC7,ESR1
2770,HDAC7,HIF1A
2771,HDAC7,HIF1A
2774,HDAC7,MEF2C
2784,HDAC9,ESR1
2791,HDAC9,NFKB1
2793,HDAC9,RELA
2796,HDAC9,TP53
2806,HES1,E2F1
2825,HEYL,AR
2826,HHEX,HNF4A
2831,HIC1,E2F1
2834,HIC1,MYC
2835,HIC1,SIRT1
2836,HIC1,SIRT1
2837,HIC1,STAT3
2848,HIF1A,AR
2849,HIF1A,ARNT
2865,HIF1A,E2F3
2879,HIF1A,HIF1A
2914,HIF1A,STAT3
2930,HIF1A,VHL
2935,HIF3A,EPAS1
2936,HIF3A,HIF1A
2941,HIPK2,HIF1A
2942,HIPK2,MEF2C
2944,HIPK2,TP53
2955,HLF,RUNX1
2961,HMGA1,BRCA1
2975,HMGA1,SP1
2976,HMGA1,TP53
3044,HNF4A,HNF1A
3050,HNF4A,MYC
3067,HNRNPD,KLF2
3074,HOXA1,EPAS1
3077,HOXA1,MYC
3093,HOXA10,TP53
3094,HOXA10,WT1
3098,HOXA5,PGR
3110,HOXA9,NFKB1
3111,HOXA9,RELA
3115,HOXB1,TCF4
3116,HOXB13,TCF4
3165,HSF1,JUN
3171,HSF1,NFKB1
3173,HSF1,RELA
3180,HSF2,HIF1A
3190,HSF4,HIF1A
3200,ID4,BRCA1
3202,IFI16,BRCA1
3204,IFI16,MYC
3205,IFI16,TP53
3206,IFI16,WT1
3211,IKBKB,TP53
3231,ING1,TP53
3250,ING4,TP53
3269,IRF1,E2F1
3305,IRF1,TP53
3342,IRF6,NR1H4
3343,IRF7,ATF4
3356,IRF7,NR1H4
3374,IRF9,PML
3378,ISL1,MEF2C
3391,JUN,AR
3392,JUN,AR
3398,JUN,BRCA1
3461,JUN,JUN
3462,JUN,JUN
3492,JUN,MYC
3512,JUN,PGR
3530,JUN,RUNX2
3550,JUN,TP53
3551,JUN,TP53
3556,JUN,VDR
3619,KAT2B,RB1
3622,KAT2B,YY1
3628,KAT5,STAT3
3636,KDM4B,AR
3639,KDM4B,ESR1
3642,KHDRBS1,AR
3660,KLF12,TFAP2A
3677,KLF2,PPARG
3723,KLF4,TP53
3724,KLF4,TP53
3725,KLF4,TP53
3726,KLF4,VDR
3737,KLF5,HIF1A
3762,KLF6,PTTG1
3775,KLF9,PGR
3777,L3MBTL1,MYC
3778,L3MBTL1,RUNX1
3783,LEF1,AR
3799,LEF1,ESR1
3803,LEF1,MYC
3813,LEF1,TCF4
3820,LIMD1,HIF1A
3838,LMO4,BRCA1
3840,LMO4,ESR1
3841,LMO4,MTA1
3853,LYL1,NFKB1
3871,MAML1,EGR1
3876,MAX,MYC
3886,MAZ,TSG101
3906,MCM5,STAT1
3908,MDM4,TP53
3914,MECP2,ESR1
3915,MECP2,ESR1
3921,MED1,AR
3925,MED1,VDR
3930,MEF2A,JUN
3931,MEF2A,JUN
3945,MEF2C,JUN
3946,MEF2C,JUN
3947,MEF2C,JUN
3954,MEF2D,ATM
3957,MEF2D,JUN
3959,MEIS1,AR
3964,MEN1,BRCA1
3969,MEN1,GATA3
3986,MITF,HIF1A
4043,MSX2,NKX3-1
4049,MTA1,BRCA1
4054,MTA1,ESR1
4055,MTA1,ESR1
4056,MTA1,HDAC1
4061,MTA1,MYC
4088,MXI1,MYC
4107,MYB,GATA3
4119,MYB,MYC
4120,MYB,MYC
4127,MYB,SP3
4130,MYB,WT1
4138,MYBL2,MYC
4141,MYBL2,SP1
4177,MYC,CREBBP
4184,MYC,EP300
4188,MYC,FOXM1
4193,MYC,HDAC2
4210,MYC,JUNB
4247,MYC,TP53
4248,MYC,TP53
4271,MYCN,HDAC2
4302,MYCN,TP53
4303,MYCN,TP53
4332,NANOG,GATA2
4337,NANOG,KLF2
4349,NCOA2,AR
4351,NCOA3,BRCA1
4357,NCOA4,AR
4358,NCOA4,AR
4365,NCOR1,AR
4366,NCOR1,AR
4367,NCOR1,ESR1
4371,NCOR1,PPARG
4373,NCOR2,AR
4374,NCOR2,AR
4396,NF1,MYC
4400,NF1,SP3
4401,NF1,TP53
4413,NFATC1,SP1
4429,NFE2L2,BRCA1
4477,NFIC,JUN
4491,NFIL3,PGR
4513,NFKB1,AR
4514,NFKB1,AR
4529,NFKB1,BCL3
4637,NFKB1,E2F1
4642,NFKB1,EGR1
4662,NFKB1,FOXO3
4665,NFKB1,GATA3
4677,NFKB1,HDAC1
4680,NFKB1,HIF1A
4727,NFKB1,JUNB
4758,NFKB1,MYC
4759,NFKB1,MYC
4760,NFKB1,MYC
4763,NFKB1,NCOR1
4765,NFKB1,NFKB1
4874,NFKB1,TP53
4890,NFKB1,WT1
4894,NFKB1,YY1
4895,NFKB1,YY1
4899,NFKB2,HIF1A
4914,NFKBIA,NFKB1
4915,NFKBIA,NFKB1
4916,NFKBIA,NFKB1
4919,NFKBIA,RELA
4920,NFKBIA,RELA
4921,NFKBIA,RELA
4927,NFRKB,JUN
4941,NFYA,HOXB7
4948,NFYA,SP3
4958,NFYB,HOXB7
4973,NFYC,HOXB7
4986,NKX2-1,SP1
4989,NKX2-3,EGR1
4996,NKX2-5,MEF2C
5000,NKX3-1,AR
5002,NKX3-1,ESR1
5022,NPM1,DNMT1
5035,NR0B1,NR1H4
5043,NR0B2,E2F1
5069,NR1H4,NFKB1
5072,NR1H4,RELA
5094,NR1I2,NFKB1
5099,NR1I2,RELA
5112,NR2E3,ESR1
5123,NR2F2,E2F1
5129,NR2F2,TFAP2A
5141,NR3C1,BRCA1
5157,NR3C1,NFKB1
5170,NR3C1,STAT1
5172,NR3C1,TP53
5188,NR4A1,E2F1
5204,NR4A3,PPARG
5272,NUPR1,EP300
5274,NUPR1,TP53
5296,PA2G4,AR
5297,PA2G4,E2F1
5298,PA2G4,E2F1
5307,PARP1,E2F1
5316,PARP1,JUN
5317,PARP1,NFKB1
5318,PARP1,RELA
5334,PAX2,TP53
5335,PAX2,WT1
5366,PAX5,RB1
5369,PAX5,TP53
5370,PAX5,TP53
5371,PAX5,XBP1
5383,PAX8,E2F1
5388,PAX8,TP53
5390,PAX8,WT1
5423,PGR,E2F1
5426,PGR,ESR1
5434,PGR,MYC
5437,PGR,RELA
5442,PHB2,ARNT
5461,PIAS1,STAT1
5462,PIAS2,AR
5467,PIAS3,ESR1
5469,PIAS3,STAT3
5471,PIAS4,VDR
5472,PIR,NFKB1
5480,PITX1,JUN
5482,PITX1,NKX3-1
5484,PITX1,RUNX1
5485,PITX1,RUNX2
5524,PML,EP300
5528,PML,HIPK2
5531,PML,PML
5534,PML,TP53
5536,POLR1A,E2F1
5550,POU1F1,VDR
5556,POU2F1,AR
5686,PPARA,SREBF2
5748,PPARG,KLF4
5752,PPARG,MYC
5777,PPARG,TP53
5795,PRDM1,MYC
5822,PTTG1,ID3
5825,PTTG1,MYC
5826,PTTG1,MYC
5833,PURA,AR
5837,RAD51,SP1
5850,RARA,HNF4A
5876,RB1,BRCA1
5884,RB1,E2F1
5885,RB1,E2F1
5887,RB1,E2F3
5896,RB1,MYC
5897,RB1,MYC
5899,RB1,PPARG
5900,RB1,RB1
5903,RB1,SP1
5910,RB1CC1,RB1
5911,RB1CC1,RB1
5913,RBL1,BRCA1
5916,RBL1,MYC
5918,RBL2,BRCA1
5920,RBL2,E2F4
5922,RBMX,EGR1
5925,RBMX,JUNB
5933,RBPJ,NFKB1
5971,RELA,AR
5972,RELA,AR
5986,RELA,BCL3
6092,RELA,E2F1
6096,RELA,EGR1
6098,RELA,EPAS1
6117,RELA,FOXO3
6121,RELA,GATA3
6132,RELA,HDAC1
6135,RELA,HIF1A
6179,RELA,JUNB
6210,RELA,MYC
6211,RELA,MYC
6212,RELA,MYC
6215,RELA,NCOR1
6217,RELA,NFKB1
6218,RELA,NFKB1
6240,RELA,PGR
6280,RELA,SIRT1
6288,RELA,STAT1
6289,RELA,STAT3
6327,RELA,TP53
6333,RELA,TRIB3
6345,RELA,WT1
6349,RELA,YY1
6350,RELA,YY1
6355,REST,AR
6379,REST,STAT1
6397,RFX1,HDAC1
6406,RFX1,MYC
6414,RFX5,HDAC2
6463,RORA,E2F1
6488,RUNX1,JUN
6489,RUNX1,KLF4
6501,RUNX1,NFKB1
6507,RUNX1,RELA
6514,RUNX2,AR
6516,RUNX2,ESR1
6557,RUNX3,MYC
6559,RUNX3,RUNX1
6560,RUNX3,RUNX1
6561,RUNX3,TCF4
6564,RUNX3,TRAF6
6567,RUVBL1,TP53
6577,RXRA,HNF1A
6578,RXRA,HNF4A
6606,SATB1,GATA3
6608,SATB1,HDAC1
6654,SIN3A,E2F1
6673,SIRT1,FOXO3
6676,SIRT1,HIC1
6677,SIRT1,HIF1A
6687,SIRT1,MYC
6694,SIRT1,PPARG
6701,SIRT1,TP53
6702,SIRT1,TP53
6709,SIRT3,FOXO3
6738,SMAD3,FOXA2
6743,SMAD3,JUN
6747,SMAD3,MYC
6758,SMAD3,VDR
6760,SMAD3,ZFP36
6776,SMAD4,JUN
6777,SMAD4,MYC
6786,SMAD4,ZFP36
6793,SMAD7,MYC
6810,SMURF2,KLF5
6821,SNAI1,VDR
6836,SNAI2,VDR
6839,SNIP1,MYC
6842,SNW1,VDR
6863,SOX17,HNF4A
6897,SOX4,NKX3-1
6904,SOX6,TP53
6907,SOX9,AR
6921,SOX9,KLF4
6977,SP1,AR
6978,SP1,AR
6983,SP1,ATM
6999,SP1,BRCA1
7097,SP1,DNMT1
7098,SP1,DNMT1
7099,SP1,DNMT1
7104,SP1,E2F1
7111,SP1,EGR1
7112,SP1,EGR1
7121,SP1,ESR1
7144,SP1,FOXM1
7150,SP1,GATA3
7168,SP1,HDAC4
7174,SP1,HMGA2
7175,SP1,HNF4A
7176,SP1,HOXB7
7283,SP1,MTA1
7291,SP1,MYC
7298,SP1,NFKB1
7329,SP1,PGR
7362,SP1,PTTG1
7363,SP1,PTTG1
7370,SP1,RELA
7371,SP1,RELA
7384,SP1,SIRT1
7415,SP1,SP3
7421,SP1,SREBF1
7422,SP1,SREBF1
7479,SP1,VDR
7487,SP1,WT1
7490,SP1,YY1
7557,SP3,HDAC4
7559,SP3,HMGA2
7560,SP3,HOXB7
7588,SP3,NFKB1
7599,SP3,RELA
7620,SP3,YY1
7629,SP4,NFKB1
7631,SP4,RELA
7632,SP4,YY1
7710,SPI1,STAT3
7726,SREBF1,AR
7748,SREBF1,PPARG
7762,SREBF2,HNF4A
7772,SREBF2,PPARG
7801,SRSF1,MYC
7802,SRSF1,NFKB1
7885,STAT1,NR1H4
7889,STAT1,PML
7890,STAT1,PML
7901,STAT1,STAT3
7907,STAT1,TP53
7908,STAT1,TP53
7917,STAT2,PML
7922,STAT2,STAT1
7927,STAT3,AR
7955,STAT3,COPS5
7966,STAT3,DNMT1
7967,STAT3,DNMT1
7969,STAT3,EPAS1
7970,STAT3,ESR2
7992,STAT3,HIF1A
7993,STAT3,HIF1A
8016,STAT3,JUNB
8042,STAT3,MYC
8043,STAT3,MYC
8044,STAT3,MYC
8083,STAT3,STAT1
8091,STAT3,TP53
8101,STAT3,VDR
8107,STAT3,ZFP36
8111,STAT4,MYC
8127,STAT5A,ESR1
8130,STAT5A,SP1
8137,STAT5B,ESR1
8138,STAT5B,ESR2
8181,STAT6,STAT1
8189,TAF1,AR
8205,TAL1,NFKB1
8208,TBL1X,MYC
8215,TBP,E2F1
8221,TBP,MYC
8233,TBX21,GATA3
8242,TBX21,YY1
8264,TCF3,MYC
8265,TCF3,MYC
8280,TCF4,JUN
8281,TCF4,KLF4
8284,TCF4,MYC
8285,TCF4,MYC
8300,TCF7L2,GATA3
8307,TCF7L2,STAT3
8408,TFAP2C,ESR1
8428,TFCP2,WT1
8438,TFDP1,TP53
8440,TFDP3,E2F1
8454,TLE3,RUNX1
8457,TLX1,MYC
8458,TLX1,NR4A3
8460,TNFAIP3,JUN
8461,TNFAIP3,NFKB1
8462,TNFAIP3,NFKB1
8463,TNFAIP3,RELA
8464,TNFAIP3,RELA
8467,TOP2B,RUNX1
8489,TP53,BCL3
8494,TP53,BRCA1
8495,TP53,BRCA1
8533,TP53,DNMT1
8534,TP53,DNMT1
8535,TP53,DNMT1
8537,TP53,E2F1
8538,TP53,E2F3
8541,TP53,EGR1
8544,TP53,ESR1
8553,TP53,FOXM1
8554,TP53,FOXO3
8567,TP53,HIPK2
8568,TP53,HNF4A
8582,TP53,KLF2
8598,TP53,MYC
8599,TP53,MYC
8600,TP53,NFKB1
8601,TP53,NKX3-1
8615,TP53,PML
8625,TP53,PTTG1
8626,TP53,PTTG1
8629,TP53,RB1
8632,TP53,RELA
8641,TP53,SMAD3
8643,TP53,STAT1
8644,TP53,STAT3
8654,TP53,TP53
8655,TP53,TP53
8661,TP53,UHRF1
8669,TP53BP1,BRCA1
8670,TP53BP1,BRCA1
8672,TP63,BRCA1
8679,TP63,KLF4
8682,TP63,TCF4
8683,TP63,VDR
8684,TP63,VDR
8696,TP73,E2F1
8701,TP73,VDR
8712,TRIB3,ATF4
8713,TRIB3,SMAD3
8715,TRIM16,E2F1
8717,TRIM22,NFKB1
8718,TRIM22,RELA
8720,TRIM28,E2F3
8721,TRIM28,E2F4
8726,TRPS1,RUNX2
8733,TSC22D3,FOXO3
8739,TTF2,TSG101
8742,TWIST1,ATM
8753,TWIST1,ESR1
8772,TWIST1,RUNX2
8773,TWIST1,RUNX2
8776,TWIST1,YBX1
8777,TWIST1,YBX1
8779,TWIST2,ATM
8802,TWIST2,RUNX2
8803,TWIST2,RUNX2
8808,UHRF1,PPARG
8809,UHRF1,RB1
8815,URI1,AR
8844,USF1,FOXA2
8850,USF1,HOXB7
8857,USF1,NFKB1
8869,USF1,RELA
8900,USF2,BRCA1
8911,USF2,EPAS1
8916,USF2,HIF1A
8984,VDR,NCOR1
8998,VHL,AR
9007,VHL,HIF1A
9008,VHL,HIF1A
9010,VHL,KLF10
9014,VHL,TCF4
9016,VHL,TP53
9020,WDR5,MYC
9021,WHSC1,AR
9025,WT1,AR
9056,WT1,JUN
9057,WT1,JUNB
9060,WT1,MYC
9061,WT1,MYC
9072,WT1,SMAD3
9082,WT1,VDR
9083,WT1,VDR
9096,WWTR1,SMAD3
9103,XBP1,ESR1
9131,YBX1,AR
9139,YBX1,E2F1
9159,YEATS4,TP53
9166,YY1,BRCA1
9176,YY1,CREBBP
9177,YY1,CREBBP
9186,YY1,EPAS1
9202,YY1,HDAC1
9203,YY1,HDAC2
9204,YY1,HDAC3
9205,YY1,HIF1A
9208,YY1,HOXB7
9227,YY1,MYC
9228,YY1,MYC
9229,YY1,MYC
9234,YY1,PARP1
9251,YY1,TFAP2A
9256,YY1,TP53
9257,YY1,TP53
9258,YY1,TP53
9283,ZBTB2,TP53
9287,ZBTB7A,MYC
9291,ZEB1,AR
9318,ZFP36,HIF1A
9319,ZFP36,HIF1A
9329,ZHX2,HNF1A
9335,ZIC2,TCF4
9359,ZNF224,VDR
9371,ZNF300,MYC
9374,ZNF350,HMGA2
9378,ZNF382,HMGA2
9381,ZNF382,JUN
9383,ZNF382,MYC
9384,ZNF382,NFKB1
9385,ZNF382,STAT3
9387,ZNF383,JUN
9389,ZNF423,BRCA1
