,TF,Target,Mode of Regulation,References
4366,NCOR1,AR,Unknown,16373395
4367,NCOR1,ESR1,Repression,20101232
4371,NCOR1,PPARG,Repression,20462215
4373,NCOR2,AR,Activation,21720703
4374,NCOR2,AR,Unknown,16373395
4396,NF1,MYC,Activation,9562250
4400,NF1,SP3,Unknown,18342022
4401,NF1,TP53,Activation,10634504;8816507
4413,NFATC1,SP1,Repression,21603612
4429,NFE2L2,BRCA1,Activation,23353771
4477,NFIC,JUN,Unknown,10403485
4491,NFIL3,PGR,Unknown,1620116
4513,NFKB1,AR,Repression,15517885
4514,NFKB1,AR,Unknown,16619263
4529,NFKB1,BCL3,Activation,11387332
4637,NFKB1,E2F1,Unknown,16725311
4642,NFKB1,EGR1,Repression,21983014
4662,NFKB1,FOXO3,Unknown,19299143
4665,NFKB1,GATA3,Activation,20660789
4677,NFKB1,HDAC1,Unknown,23027620
4680,NFKB1,HIF1A,Unknown,18498249
4727,NFKB1,JUNB,Activation,17018379
4758,NFKB1,MYC,Activation,17018379
4759,NFKB1,MYC,Repression,18566231
4760,NFKB1,MYC,Unknown,11114727;12894581;17673602;17944672;18184402;19469019;19766095;21790895
4763,NFKB1,NCOR1,Unknown,17876798
4765,NFKB1,NFKB1,Unknown,19469019
4874,NFKB1,TP53,Unknown,10348347;11032029
4890,NFKB1,WT1,Unknown,11243407
4894,NFKB1,YY1,Repression,16784892
4895,NFKB1,YY1,Unknown,17438126
4899,NFKB2,HIF1A,Repression,19414801
4914,NFKBIA,NFKB1,Activation,9500973
4915,NFKBIA,NFKB1,Repression,11278471;18606063;20173029
4916,NFKBIA,NFKB1,Unknown,15713458;17148610
4919,NFKBIA,RELA,Activation,9500973
4920,NFKBIA,RELA,Repression,11278471;18606063;20173029
4921,NFKBIA,RELA,Unknown,15713458;17148610
4927,NFRKB,JUN,Activation,22291976
4941,NFYA,HOXB7,Unknown,12697323
4948,NFYA,SP3,Activation,16024108
4958,NFYB,HOXB7,Unknown,12697323
4973,NFYC,HOXB7,Unknown,12697323
4986,NKX2-1,SP1,Unknown,23995788
4989,NKX2-3,EGR1,Unknown,21968973
4996,NKX2-5,MEF2C,Repression,21261500
5000,NKX3-1,AR,Repression,16697957
5002,NKX3-1,ESR1,Unknown,18794125
5022,NPM1,DNMT1,Unknown,19887607
5035,NR0B1,NR1H4,Repression,21856289
5043,NR0B2,E2F1,Repression,18657049
5069,NR1H4,NFKB1,Activation,21364590
5072,NR1H4,RELA,Activation,21364590
5094,NR1I2,NFKB1,Repression,22248096
5099,NR1I2,RELA,Repression,22248096
5112,NR2E3,ESR1,Unknown,22174013
5123,NR2F2,E2F1,Unknown,22734039
5129,NR2F2,TFAP2A,Activation,20195529
5141,NR3C1,BRCA1,Activation,22328717
5157,NR3C1,NFKB1,Repression,17016446
5170,NR3C1,STAT1,Repression,17016446
5172,NR3C1,TP53,Repression,17016446
5188,NR4A1,E2F1,Activation,12947120
5204,NR4A3,PPARG,Repression,18855877
5272,NUPR1,EP300,Unknown,22858377
5274,NUPR1,TP53,Unknown,22858377
5296,PA2G4,AR,Unknown,20159994
5297,PA2G4,E2F1,Repression,16254079
5298,PA2G4,E2F1,Unknown,17786317
5307,PARP1,E2F1,Activation,14627987
5316,PARP1,JUN,Unknown,16026317
5317,PARP1,NFKB1,Unknown,16026317
5318,PARP1,RELA,Unknown,16026317
5334,PAX2,TP53,Repression,8521821
5335,PAX2,WT1,Unknown,9178767
5366,PAX5,RB1,Unknown,10197586
5369,PAX5,TP53,Activation,22105368
5370,PAX5,TP53,Repression,8521821
5371,PAX5,XBP1,Repression,8627152
5383,PAX8,E2F1,Activation,21602887
5388,PAX8,TP53,Repression,8521821
5390,PAX8,WT1,Activation,15961562;8861958
5423,PGR,E2F1,Activation,20123965
5426,PGR,ESR1,Activation,16982776
5434,PGR,MYC,Unknown,22892083
5437,PGR,RELA,Repression,8626413
5442,PHB2,ARNT,Repression,21256954
5461,PIAS1,STAT1,Unknown,17940994;19136629
5462,PIAS2,AR,Activation,11117529
5467,PIAS3,ESR1,Unknown,22174013
5469,PIAS3,STAT3,Unknown,16098628
5471,PIAS4,VDR,Unknown,22564762
5472,PIR,NFKB1,Unknown,14573596
5480,PITX1,JUN,Repression,21425961
5482,PITX1,NKX3-1,Repression,21425961
5484,PITX1,RUNX1,Repression,21425961
5485,PITX1,RUNX2,Repression,21425961
5524,PML,EP300,Activation,18809579
5528,PML,HIPK2,Activation,18809579
5531,PML,PML,Activation,15529177
5534,PML,TP53,Unknown,12837275
5536,POLR1A,E2F1,Repression,21878508
5550,POU1F1,VDR,Activation,17456792
5556,POU2F1,AR,Unknown,21387309
5686,PPARA,SREBF2,Repression,16946405
5748,PPARG,KLF4,Unknown,23275339
5752,PPARG,MYC,Repression,11973610
5777,PPARG,TP53,Activation,14960510;16887883
5795,PRDM1,MYC,Repression,10713181;12032779
5822,PTTG1,ID3,Activation,16926250
5825,PTTG1,MYC,Activation,22475756
5826,PTTG1,MYC,Unknown,11115508
5833,PURA,AR,Repression,18413735;19790234
5837,RAD51,SP1,Activation,18769160
5850,RARA,HNF4A,Unknown,11585914
5876,RB1,BRCA1,Repression,20068145
5884,RB1,E2F1,Repression,12460790;1534305;21602887;9326598;9400991;9671466
5885,RB1,E2F1,Unknown,11939591;8575214
5887,RB1,E2F3,Repression,20428827
5896,RB1,MYC,Repression,10200487;9671466
5897,RB1,MYC,Unknown,7680889
5899,RB1,PPARG,Unknown,20971808
5900,RB1,RB1,Repression,8264596
5903,RB1,SP1,Unknown,7702750
5910,RB1CC1,RB1,Activation,12095676
5911,RB1CC1,RB1,Unknown,14533007;20614030
5913,RBL1,BRCA1,Repression,17106239
5916,RBL1,MYC,Unknown,17132729;9797456
5918,RBL2,BRCA1,Repression,17106239;21701264
5920,RBL2,E2F4,Unknown,8575214
5922,RBMX,EGR1,Repression,16707624
5925,RBMX,JUNB,Repression,16707624
5933,RBPJ,NFKB1,Unknown,14570916
5971,RELA,AR,Repression,14715080;15517885
5972,RELA,AR,Unknown,16619263
5986,RELA,BCL3,Activation,11387332
6092,RELA,E2F1,Unknown,16725311
6096,RELA,EGR1,Repression,21983014
6098,RELA,EPAS1,Activation,20495570
6117,RELA,FOXO3,Unknown,19299143
6121,RELA,GATA3,Activation,20660789
6132,RELA,HDAC1,Unknown,23027620
6135,RELA,HIF1A,Unknown,18498249
6179,RELA,JUNB,Activation,17018379
6210,RELA,MYC,Activation,17018379
6211,RELA,MYC,Repression,18566231
6212,RELA,MYC,Unknown,11114727;12894581;17673602;17944672;18184402;19469019;19766095;21790895
6215,RELA,NCOR1,Unknown,17876798
6217,RELA,NFKB1,Activation,20596645
6218,RELA,NFKB1,Unknown,19469019
6240,RELA,PGR,Repression,8626413
6280,RELA,SIRT1,Activation,20617556
6288,RELA,STAT1,Unknown,25040843
6289,RELA,STAT3,Unknown,25040843
6327,RELA,TP53,Unknown,10348347;11032029;15155458
6333,RELA,TRIB3,Repression,12736262
6345,RELA,WT1,Unknown,11243407
6349,RELA,YY1,Repression,16784892
6350,RELA,YY1,Unknown,17438126
6355,REST,AR,Unknown,24163104
6379,REST,STAT1,Repression,23598529
6397,RFX1,HDAC1,Unknown,16464847
6406,RFX1,MYC,Repression,10918054;12032779
6414,RFX5,HDAC2,Unknown,16464847
6463,RORA,E2F1,Unknown,24891616
6488,RUNX1,JUN,Activation,20959602
6489,RUNX1,KLF4,Unknown,19328795
6501,RUNX1,NFKB1,Unknown,19686049
6507,RUNX1,RELA,Unknown,19686049
6514,RUNX2,AR,Unknown,24648349
6516,RUNX2,ESR1,Unknown,17350616
6557,RUNX3,MYC,Repression,20442291
6559,RUNX3,RUNX1,Repression,19403666
6560,RUNX3,RUNX1,Unknown,15688019
6561,RUNX3,TCF4,Activation,24447505
6564,RUNX3,TRAF6,Activation,17956589
6567,RUVBL1,TP53,Repression,21617703
6577,RXRA,HNF1A,Unknown,11027556
6578,RXRA,HNF4A,Unknown,11027556
6606,SATB1,GATA3,Activation,20126258
6608,SATB1,HDAC1,Unknown,15713622
6654,SIN3A,E2F1,Repression,16254079
6673,SIRT1,FOXO3,Repression,17558024;21841822
6676,SIRT1,HIC1,Unknown,22510409
6677,SIRT1,HIF1A,Activation,22245592
6687,SIRT1,MYC,Repression,22245592;22483777
6694,SIRT1,PPARG,Repression,15850715
6701,SIRT1,TP53,Activation,23661372
6702,SIRT1,TP53,Repression,15130752;15632193
6709,SIRT3,FOXO3,Unknown,23665396
6738,SMAD3,FOXA2,Unknown,21625455
6743,SMAD3,JUN,Unknown,10022869
6747,SMAD3,MYC,Unknown,17132729
6758,SMAD3,VDR,Activation,17471513
6760,SMAD3,ZFP36,Unknown,12754205
6776,SMAD4,JUN,Unknown,10022869
6777,SMAD4,MYC,Unknown,17132729
6786,SMAD4,ZFP36,Unknown,12754205
6793,SMAD7,MYC,Activation,15555279
6810,SMURF2,KLF5,Repression,21953463
6821,SNAI1,VDR,Repression,15322538;16804902;20138990
6836,SNAI2,VDR,Repression,18485278;20138990
6839,SNIP1,MYC,Unknown,17157259
6842,SNW1,VDR,Unknown,15225769
6863,SOX17,HNF4A,Activation,22068426
6897,SOX4,NKX3-1,Unknown,20019190
6904,SOX6,TP53,Activation,21084391
6907,SOX9,AR,Activation,17234760
6921,SOX9,KLF4,Unknown,18977346
6977,SP1,AR,Activation,15661808;18430409
6978,SP1,AR,Unknown,10773882
6983,SP1,ATM,Unknown,11466608
6999,SP1,BRCA1,Unknown,19466541
7097,SP1,DNMT1,Activation,19211935;20570896
7098,SP1,DNMT1,Repression,20570896
7099,SP1,DNMT1,Unknown,19201992
7104,SP1,E2F1,Unknown,10446910
7111,SP1,EGR1,Activation,8349585
7112,SP1,EGR1,Unknown,10826704
7121,SP1,ESR1,Unknown,12237165;21235772
7144,SP1,FOXM1,Activation,20372080
7150,SP1,GATA3,Unknown,15486968
7168,SP1,HDAC4,Activation,16280357
7174,SP1,HMGA2,Unknown,11802722
7175,SP1,HNF4A,Unknown,23307400
7176,SP1,HOXB7,Unknown,12697323
7283,SP1,MTA1,Activation,21555589
7291,SP1,MYC,Unknown,2057364;8355712
7298,SP1,NFKB1,Activation,20538607;9151857
7329,SP1,PGR,Activation,10894148
7362,SP1,PTTG1,Activation,18339849
7363,SP1,PTTG1,Unknown,14644503
7370,SP1,RELA,Activation,20538607;11964305;9151857
7371,SP1,RELA,Unknown,8450395
7384,SP1,SIRT1,Unknown,23843607
7415,SP1,SP3,Activation,16024108
7421,SP1,SREBF1,Activation,20179320
7422,SP1,SREBF1,Unknown,15462672
7479,SP1,VDR,Unknown,15664452
7487,SP1,WT1,Activation,18064385
7490,SP1,YY1,Activation,22553354
7557,SP3,HDAC4,Activation,16280357
7559,SP3,HMGA2,Unknown,11802722
7560,SP3,HOXB7,Unknown,12697323
7588,SP3,NFKB1,Activation,20538607
7599,SP3,RELA,Activation,20538607
7620,SP3,YY1,Activation,22553354
7629,SP4,NFKB1,Activation,20538607
7631,SP4,RELA,Activation,20538607
7632,SP4,YY1,Activation,22553354
7710,SPI1,STAT3,Unknown,24429361
7726,SREBF1,AR,Unknown,20071336
7748,SREBF1,PPARG,Unknown,10409739
7762,SREBF2,HNF4A,Repression,19179483
7772,SREBF2,PPARG,Unknown,10409739
7801,SRSF1,MYC,Unknown,22545246
7802,SRSF1,NFKB1,Repression,19183244
7885,STAT1,NR1H4,Repression,19393742
7889,STAT1,PML,Activation,21115099;22589541
7890,STAT1,PML,Unknown,15519999
7901,STAT1,STAT3,Unknown,22693070
7907,STAT1,TP53,Activation,14602726
7908,STAT1,TP53,Unknown,24655378
7917,STAT2,PML,Unknown,17062732
7922,STAT2,STAT1,Unknown,21498520
7927,STAT3,AR,Unknown,23906537
7955,STAT3,COPS5,Unknown,21689417
7966,STAT3,DNMT1,Activation,16861352;21944426
7967,STAT3,DNMT1,Unknown,19887607;23604529
7969,STAT3,EPAS1,Unknown,23991099
7970,STAT3,ESR2,Activation,21546410
7992,STAT3,HIF1A,Activation,17597020;18644974;19265129
7993,STAT3,HIF1A,Unknown,23991099
8016,STAT3,JUNB,Activation,17204573
8042,STAT3,MYC,Activation,15184887;17204573;19259613
8043,STAT3,MYC,Repression,20067773;22317895
8044,STAT3,MYC,Unknown,10464281;15469392;18184402;20654581
8083,STAT3,STAT1,Activation,22693070
8091,STAT3,TP53,Unknown,20043094
8101,STAT3,VDR,Repression,23424038
8107,STAT3,ZFP36,Activation,21606497
8111,STAT4,MYC,Activation,10702306
8127,STAT5A,ESR1,Unknown,11731618
8130,STAT5A,SP1,Unknown,17922009
8137,STAT5B,ESR1,Unknown,11731618
8138,STAT5B,ESR2,Unknown,11731618
8181,STAT6,STAT1,Repression,19440213
8189,TAF1,AR,Activation,20181722
8205,TAL1,NFKB1,Repression,16778171
8208,TBL1X,MYC,Unknown,20493879
8215,TBP,E2F1,Unknown,9400991
8221,TBP,MYC,Unknown,7880838;9797456
8233,TBX21,GATA3,Unknown,17075044
8242,TBX21,YY1,Unknown,21272048
8264,TCF3,MYC,Activation,22384858
8265,TCF3,MYC,Repression,21788410
8280,TCF4,JUN,Unknown,19671687
8281,TCF4,KLF4,Unknown,18977346
8284,TCF4,MYC,Activation,21533051
8285,TCF4,MYC,Unknown,15928669;19561604;19662654;19778454
8300,TCF7L2,GATA3,Unknown,22951069
8307,TCF7L2,STAT3,Unknown,18602747
8408,TFAP2C,ESR1,Activation,11278455;19458056
8428,TFCP2,WT1,Unknown,10455131
8438,TFDP1,TP53,Repression,8557038
8440,TFDP3,E2F1,Unknown,23212661
8454,TLE3,RUNX1,Repression,19403666
8457,TLX1,MYC,Activation,20618946
8458,TLX1,NR4A3,Activation,15384172
8460,TNFAIP3,JUN,Repression,19124729
8461,TNFAIP3,NFKB1,Repression,19124729
8462,TNFAIP3,NFKB1,Unknown,24039598
8463,TNFAIP3,RELA,Repression,19124729
8464,TNFAIP3,RELA,Unknown,24039598
8467,TOP2B,RUNX1,Activation,24327541
8489,TP53,BCL3,Repression,12808109
8494,TP53,BRCA1,Repression,9619832
8495,TP53,BRCA1,Unknown,21742769
8533,TP53,DNMT1,Activation,20570896
8534,TP53,DNMT1,Repression,20570896;21478913
8535,TP53,DNMT1,Unknown,18555750
8537,TP53,E2F1,Repression,8557038
8538,TP53,E2F3,Repression,20428827
8541,TP53,EGR1,Unknown,16990849
8544,TP53,ESR1,Unknown,21655924
8553,TP53,FOXM1,Repression,21518729
8554,TP53,FOXO3,Unknown,19299143
8567,TP53,HIPK2,Activation,11740489
8568,TP53,HNF4A,Repression,16895524
8582,TP53,KLF2,Repression,23202365
8598,TP53,MYC,Repression,19411072
8599,TP53,MYC,Unknown,19202062
8600,TP53,NFKB1,Unknown,15988033
8601,TP53,NKX3-1,Repression,17202838
8615,TP53,PML,Activation,14992722
8625,TP53,PTTG1,Activation,12355087
8626,TP53,PTTG1,Repression,15016801
8629,TP53,RB1,Unknown,8119988
8632,TP53,RELA,Unknown,15988033
8641,TP53,SMAD3,Unknown,21900401
8643,TP53,STAT1,Unknown,12364590
8644,TP53,STAT3,Repression,11809683
8654,TP53,TP53,Activation,22532570
8655,TP53,TP53,Unknown,11032029;16990849
8661,TP53,UHRF1,Repression,18220474;19501055
8669,TP53BP1,BRCA1,Activation,15970701
8670,TP53BP1,BRCA1,Unknown,21914189
8672,TP63,BRCA1,Unknown,24556685
8679,TP63,KLF4,Repression,20972454
8682,TP63,TCF4,Activation,22232078
8683,TP63,VDR,Activation,22521434
8684,TP63,VDR,Unknown,16462763;17716971
8696,TP73,E2F1,Unknown,19363520
8701,TP73,VDR,Unknown,17716971
8712,TRIB3,ATF4,Repression,15781252;17707795
8713,TRIB3,SMAD3,Unknown,21896644
8715,TRIM16,E2F1,Repression,20729920
8717,TRIM22,NFKB1,Unknown,21651891
8718,TRIM22,RELA,Unknown,21651891
8720,TRIM28,E2F3,Repression,23060449
8721,TRIM28,E2F4,Repression,23060449
8726,TRPS1,RUNX2,Repression,16140555
8733,TSC22D3,FOXO3,Repression,20018851
8739,TTF2,TSG101,Unknown,21556761
8742,TWIST1,ATM,Activation,19051271
8753,TWIST1,ESR1,Repression,22056872
8772,TWIST1,RUNX2,Repression,21503964;21931630
8773,TWIST1,RUNX2,Unknown,12270142
8776,TWIST1,YBX1,Activation,21876555
8777,TWIST1,YBX1,Unknown,19318582
8779,TWIST2,ATM,Activation,19051271
8802,TWIST2,RUNX2,Repression,21931630
8803,TWIST2,RUNX2,Unknown,12270142
8808,UHRF1,PPARG,Repression,22286757
8809,UHRF1,RB1,Activation,16007129
8815,URI1,AR,Repression,21730289
8844,USF1,FOXA2,Activation,22460558
8850,USF1,HOXB7,Unknown,12697323
8857,USF1,NFKB1,Unknown,19686049
8869,USF1,RELA,Unknown,19686049
8900,USF2,BRCA1,Unknown,14502648
8911,USF2,EPAS1,Unknown,23991099
8916,USF2,HIF1A,Unknown,23991099
8984,VDR,NCOR1,Activation,23098689
8998,VHL,AR,Activation,23961993
9007,VHL,HIF1A,Repression,11987242
9008,VHL,HIF1A,Unknown,11727931;19238077
9010,VHL,KLF10,Unknown,18359287
9014,VHL,TCF4,Unknown,16407833
9016,VHL,TP53,Unknown,22071692
9020,WDR5,MYC,Unknown,24782528
9021,WHSC1,AR,Unknown,19481544
9025,WT1,AR,Repression,11299720
9056,WT1,JUN,Activation,20842112
9057,WT1,JUNB,Unknown,17430890
9060,WT1,MYC,Repression,17634147
9061,WT1,MYC,Unknown,15286719
9072,WT1,SMAD3,Activation,20842112
9082,WT1,VDR,Activation,23362234
9083,WT1,VDR,Unknown,11050081;11773605
9096,WWTR1,SMAD3,Activation,22470139
9103,XBP1,ESR1,Activation,15882996
9131,YBX1,AR,Unknown,21652770
9139,YBX1,E2F1,Unknown,22205655
9159,YEATS4,TP53,Repression,18214854
9166,YY1,BRCA1,Unknown,21666725
9176,YY1,CREBBP,Repression,21852380
9177,YY1,CREBBP,Unknown,9238849
9186,YY1,EPAS1,Repression,19483472
9202,YY1,HDAC1,Unknown,11532945
9203,YY1,HDAC2,Unknown,11532945
9204,YY1,HDAC3,Unknown,19279113
9205,YY1,HIF1A,Unknown,20660740
9208,YY1,HOXB7,Unknown,12697323
9227,YY1,MYC,Activation,18490439
9228,YY1,MYC,Repression,19279113
9229,YY1,MYC,Unknown,10528225;17434929;9797456
9234,YY1,PARP1,Unknown,9367892
9251,YY1,TFAP2A,Activation,18218085
9256,YY1,TP53,Activation,10634504;8816507
9257,YY1,TP53,Repression,10787423
9258,YY1,TP53,Unknown,10505791
9283,ZBTB2,TP53,Repression,19380588
9287,ZBTB7A,MYC,Repression,17189472
9291,ZEB1,AR,Unknown,19921427;22391641
9318,ZFP36,HIF1A,Activation,19962963
9319,ZFP36,HIF1A,Repression,19962963
9329,ZHX2,HNF1A,Unknown,18194454
9335,ZIC2,TCF4,Repression,21908606
9359,ZNF224,VDR,Activation,23362234
9371,ZNF300,MYC,Activation,21777376
9374,ZNF350,HMGA2,Repression,20007691
9378,ZNF382,HMGA2,Repression,20682794
9381,ZNF382,JUN,Repression,20682794
9383,ZNF382,MYC,Repression,20682794
9384,ZNF382,NFKB1,Repression,20682794
9385,ZNF382,STAT3,Repression,20682794
9387,ZNF383,JUN,Repression,15964543
9389,ZNF423,BRCA1,Unknown,23764426
